Analiz Edilen Madde,İlişkili Rehber Maddesi (Yerel / Uluslararası),Kontrol Sorusu,Açıklama ve Gerekçe,Denetim Testi (Prosedür),Uygulama Notu / Örnek Kanıt
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 59 (ç),"Bankaların İç Sistemleri Yönetmeliği md. 18 (Uyum fonksiyonu); Kredilerin Sınıflandırılması Yönetmeliği; EBA/GL/2018/06, parag. 69","İkinci savunma hattı, sorunlu alacaklarla ilgili süreçlerin (sınıflandırma, karşılık ayırma, kayıttan düşme, teminat değerleme, yeniden yapılandırma, erken uyarı sistemi vb.) bankanın iç politikalarına ve mevzuata uyumunu düzenli olarak gözden geçirmekte midir?","59/ç bendi, uyum ve risk kontrol fonksiyonlarının sorunlu kredi işlemlerinin hem bankanın kendi belirlediği politikalara hem de yasal düzenlemelere uygun yapılıp yapılmadığını sürekli izlemesini şart koşar. Bu, iç politika hükümlerinin sahada uygulanıp uygulanmadığı ve BDDK mevzuatının eksiksiz tatbik edilip edilmediği anlamına gelir. Örneğin, banka politikası bir kredinin ancak 1 kez yapılandırılmasına izin veriyorsa gerçekten böyle mi yapılıyor, yoksa kural ihlalleri var mı? Uyum denetimi olmazsa, personel bazen farkında olmadan politikadan sapabilir veya yeni mevzuat değişiklikleri uygulamalara yansıtılmayabilir; bu da ciddi uyumsuzluk riskleri doğurur.","Uyum biriminin plan ve faaliyet raporlarını inceleyin; sorunlu alacak süreçlerine yönelik bir uyum kontrolü (mevzuata uygunluk denetimi) yapmış mı bakın. Örneğin BDDK'nın kredilerin sınıflandırılması tebliğine göre işlemler kontrol edilmiş mi, veya iç politikalara aykırı uygulama var mı diye test yapılmış mı? Yeni çıkan düzenlemeler (ör. yeniden yapılandırma ile ilgili BDDK kararları) sonrasında bankanın süreçlerini güncelleyip güncellemediğine dair uyum biriminin bir takibi var mı inceleyin. Ayrıca BDDK denetim raporlarında sorunlu alacak yönetimiyle ilgili bulgu varsa, bankanın politikalarının mevzuata uyumunda aksaklık sinyali sayılabilir, bunu da not edin.",Uyum birimi kontrol raporları; yıllık uyum kontrol planı (sorunlu kredi süreçlerini içeriyor mu); mevzuat değişikliklerinin izlenmesi ve uygulanmasına dair iç yazışmalar; BDDK denetim raporlarındaki bulgular (varsa) ve bunlara verilen cevaplarda süreç/politika revizyonları; iç politikaların son mevzuatla karşılaştırıldığı bir uyum kontrol listesi.
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 60,"Bankaların İç Sistemleri Yönetmeliği md. 18; EBA/GL/2018/06, parag. 70","İkinci savunma hattı (risk yönetimi/uyum), sorunlu alacaklarla ilgili politika ve prosedürlerin tasarlanması ve gözden geçirilmesi sürecinde yönlendirme yapmakta ve bu düzenlemeler yönetim kurulunun onayına sunulmadan önce tasarım/gözden geçirme aşamasına dahil olmakta mıdır?","Madde 60, risk yönetimi ve uyum birimlerinin, NPL politikaları oluşturulurken aktif rol almasını gerektirir. Bu, politika yazım aşamasında görüş verme, standardların belirlenmesine katkı sağlama ve onay öncesi kontrolleri yapma gibi faaliyetleri içerir. İkinci hattın sürece katılımı, hazırlanan politikaların riskleri gerçekten adreslemesini ve mevzuata uygun olmasını sağlar. Eğer ikinci hat bu süreçten dışlanırsa, politika ve prosedürlerde önemli eksikler ya da hatalar kalabilir, bu da uygulamada risk yaratır.","Son dönemde hazırlanmış veya güncellenmiş bir sorunlu alacak politikası/prosedürü seçin ve hazırlık sürecine dair kayıtları inceleyin. Taslak dokümanlara risk yönetimi veya uyum bölümlerinin yazılı görüş verip vermediğine (ör. e-posta ile feedback), politika komitesi gibi oluşumlarda bu birimlerin temsilci olarak bulunup bulunmadığına bakın. Yönetim kurulu onayına sunulan nihai politika dokümanında, risk yönetimi/uyum tarafından incelendiğine dair bir ibare ya da imza bölümü olup olmadığına dikkat edin.","Politika/prosedür taslaklarına verilen risk yönetimi veya uyum görüş yazıları/e-postaları; Politika onay süreci akışında ikinci hattın dahil olduğunu gösteren belge (ör. Politika Komitesi üyeleri listesi); yönetim kurulu onay belgesinde ""uygun görüş"" imzaları; politika geliştirme toplantı tutanakları."
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 61,Bankaların İç Sistemleri ve İSEDES Yönetmeliği (İç Denetim ile ilgili hükümler); EBA/GL/2018/06 (NPL Yönetimi rehberi),"Sorunlu alacak çözümleme süreçleri, yeterli uzmanlığa sahip iç denetçiler tarafından düzenli olarak denetleniyor mu?","Bu madde, sorunlu alacak yönetimi süreçlerinin bağımsız ve uzman bir bakışla düzenli olarak değerlendirilmesini sağlamayı amaçlar. İç denetimin bu alana odaklanması sayesinde, NPL çözümleme uygulamalarındaki eksiklikler veya aksaklıklar erken tespit edilerek giderilir ve kredi riskinin etkin yönetimi güvence altına alınır.",İç denetim planında sorunlu alacak yönetimi süreçlerine yer verildiği doğrulanır. İç denetçilerin NPL alanında eğitim/sertifika gibi uzmanlığa sahip olup olmadığı ve son iç denetim raporlarında NPL çözümleme konularının düzenli olarak incelendiği kontrol edilir.,İç denetim yıllık planı ve programı; iç denetim raporları (ör. sorunlu alacak yönetimi denetim raporu); iç denetçilerin uzmanlık ve eğitim kayıtları.
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 62,Bankaların İç Sistemleri ve İSEDES Yönetmeliği (İç Denetim); Kredi İşlemleri Yönetmeliği 19/A (Bankaların sorunlu alacak politikaları); EBA/GL/2018/06,"İç denetim birimi, bankanın sorunlu alacak yönetimine ilişkin iç politika ve mevzuat hükümlerine uyum düzeyini düzenli olarak değerlendiriyor mu?","Bu hüküm, bankanın sorunlu alacaklara ilişkin oluşturduğu politika, prosedür ve yasal gerekliliklere uygun hareket edilip edilmediğinin bağımsız olarak kontrol edilmesini vurgular. Amaç, mevzuata aykırı veya politika dışı uygulamaların erken tespit edilerek düzeltilmesi ve uyumsuzluk riskinin azaltılmasıdır.","İç denetim prosedürlerinin, sorunlu alacak yönetimi politika ve düzenlemelerine uyum kontrollerini içerdiği teyit edilir. Örneğin, iç denetim raporlarında sorunlu alacak sınıflandırması, yeniden yapılandırma uygulamaları gibi mevzuata tabi konularda bulgular ve değerlendirmeler olup olmadığı incelenir.",İç denetim kontrol listeleri ve programları; sorunlu alacak yönetimiyle ilgili iç denetim raporları; mevzuata uyum denetim sonuçları; iç denetim ve uyum birimi koordinasyon toplantı tutanakları.
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 63,Bankaların İç Sistemleri ve İSEDES Yönetmeliği (Risk odaklı iç denetim yaklaşımı); EBA/GL/2018/06,"İç denetim birimi, denetim kapsam, sıklık ve önceliklerini belirlerken bankanın sorunlu alacak tutarı ve önceki denetimlerde tespit edilen önemli zafiyetleri dikkate alıyor mu?","Madde 63, iç denetim planlamasının risk odaklı yapılmasını sağlamaktadır. Sorunlu alacak düzeyi yüksekse veya önceki denetimlerde ciddi aksaklıklar bulunmuşsa, iç denetimin bu alanlara daha fazla yoğunlaşması gereklidir. Böylece en kritik kredi riski alanlarında denetim sıklığı ve derinliği artırılarak olası zararlar önlenir.","İç denetim risk değerlendirme dokümanları incelenerek NPL portföy büyüklüğü ve geçmiş denetim bulgularının yıllık denetim planına etki edip etmediği kontrol edilir. Örneğin, yüksek donuk alacak oranına sahip kredi birimlerinin daha sık denetlendiği veya önemli bulguların çıktığı alanlarda plan dışı denetimler yapılıp yapılmadığı tespit edilir.",İç denetim risk değerlendirme raporu; yıllık denetim planı ve revizyonları; Denetim Komitesi toplantı tutanakları (denetim planı tartışmaları); önceki denetimler sonrası hazırlanan takip denetimi planları.
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 64,Bankaların İç Sistemleri ve İSEDES Yönetmeliği (İç Denetim raporlama); EBA/GL/2018/06,"İç denetim birimi, yaptığı denetimlerde tespit ettiği sorunlu alacaklara ilişkin bulgular için uygun iyileştirici tavsiyelerde bulunuyor mu?","Bu madde, iç denetimin bulgu tespit etmekle sınırlı kalmayıp aynı zamanda bu bulguların giderilmesi için yönetimi yönlendirici öneriler sunmasını gerektirir. Böylece sorunlu alacak yönetiminde tespit edilen eksikliklere yönelik somut düzeltici aksiyonlar alınması sağlanarak kontrol ortamı güçlendirilir.","Seçilen iç denetim raporları incelenerek her bir bulguya karşılık önerilen düzeltici eylemlerin yer alıp almadığı kontrol edilir. Ayrıca, denetim bulgularının takibine yönelik iç denetim süreçlerinde (ör. bulgu izleme sisteminde) öneri ve aksiyon durumlarının izlendiği doğrulanır.",Sorunlu alacak süreçlerine dair iç denetim raporları (bulgu ve önerileri içeren); iç denetim bulgu izleme tablosu veya sistemi çıktıları; Denetim Komitesi raporlarında öneri ve aksiyon takibi bölümü.
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 65,Bankaların Kredi İşlemleri Yönetmeliği (Sorunlu alacak stratejisi ve planlama); EBA/GL/2018/06,"Banka, onaylanmış sorunlu alacak stratejisi ve operasyonel planına uygun şekilde, üst yönetimin ilerlemeyi takip edebileceği temel performans göstergelerini içeren bir izleme çerçevesi oluşturmuş mu?","Bu madde, bankanın sorunlu alacak azaltım stratejisinin uygulanmasını izlemek üzere somut hedefler ve göstergeler belirlemesini öngörür. Stratejiye bağlı geliştirilmiş KPI çerçevesi sayesinde üst yönetim, NPL çözümleme faaliyetlerinde kaydedilen ilerlemeyi düzenli olarak değerlendirebilir. Bu yaklaşım, stratejik hedeflerden sapmaları erken tespit ederek gerekli düzeltici adımların atılmasına imkan tanır.","Sorunlu alacak strateji belgesi ve ilgili operasyonel plan incelenerek, bu belgelerde niceliksel hedefler (ör. NPL oranı azaltım hedefi) ile bu hedeflere yönelik izlenecek performans göstergelerinin tanımlanmış olduğu doğrulanır. Ayrıca üst yönetim raporlarında bu KPI’ların düzenli raporlanıp raporlanmadığı kontrol edilir.",Sorunlu alacak stratejisi dokümanı; operasyonel eylem planı; üst yönetime sunulan periyodik NPL raporları (içindeki hedef ve gerçekleşen NPL göstergelerini gösteren bölümler); yönetim kurulu/komite sunumları.
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 66,Bankaların Kredi İşlemleri Yönetmeliği (Sorunlu alacak göstergeleri belirleme); TFRS 9 (Kredi riskinin ölçümü); EBA/GL/2018/06,Bankanın sorunlu alacaklara ilişkin temel performans göstergelerini (KPI) tanımlayıp izlemeye aldığı ve bu göstergelerin asgari belirli alanları kapsadığı güvence altına alındı mı?,"Madde 66, bankanın NPL yönetiminde kilit performans göstergeleri oluşturmasını zorunlu kılar. Bu göstergelerin belirlenmesi, sorunlu alacakların seyri, tahsilat çabaları, yeniden yapılandırma ve tasfiye gibi alanlarda bankanın performansını ölçmeye yarar. Böylelikle sorunlu alacak çözümleme faaliyetlerinin etkinliği somut verilerle takip edilerek risk yönetimi güçlendirilir.","Banka tarafından tanımlanmış sorunlu alacak KPI listesi veya raporu incelenir. Söz konusu göstergelerin Rehber’de belirtilen tüm kategori ve konuları (örn. sorunlu alacak oranları, tahsilat ve yeniden yapılandırma faaliyetlerine dair ölçütler, vs.) kapsayıp kapsamadığı değerlendirilir.",NPL KPI listeleri/tablosu; sorunlu alacak izleme raporları; yönetim raporlarında yer alan NPL performans göstergeleri; bankanın ilgili iç prosedür dokümanı (KPI belirleme ve izleme süreci).
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 66 (a),Kredilerin Sınıflandırılması Yönetmeliği (Donuk alacak tanımı ve oranlar); EBA/GL/2018/06,"Banka, sorunlu alacak stok ve akışlarına ilişkin göstergeleri (ör. takibe dönüşüm oranı, NPL oranı, giriş-çıkış tutarları) tanımlayıp izliyor mu?","Bu alt bent, toplam sorunlu alacak tutarı ve bunların portföy içindeki payı ile zaman içindeki artış/azalış akımlarının ölçülmesini gerektirir. Takibe dönüşüm oranı gibi ölçütler, canlı kredilerin ne oranda donuk hale geldiğini göstererek kredi portföy kalitesindeki trendi ortaya koyar. Bu sayede bankanın sorunlu alacak durumundaki değişimler nicel olarak takip edilip yönetim zamanında bilgilendirilir.","Bankanın NPL izleme raporları incelenerek takibe dönüşüm oranı, NPL oranı, donuk alacak akım/stok değişimleri gibi metriklerin hesaplanıp raporlandığı teyit edilir. Farklı dönemlere ait raporlarda bu oranların düzenli izlendiği ve trend analizlerinin yapıldığı kontrol edilir.","NPL yönetim raporları (içindeki NPL stok, akım ve oran analizleri bölümü); kredi portföy kalite raporları; yönetim kurulu risk komitesi sunumları (donuk alacak trendleri grafikleri)."
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 66 (b),Kredilerin Sınıflandırılması Yönetmeliği (Yakın izlemedeki krediler takibi); EBA/GL/2018/06,"Borçlu iletişimi ve tahsilat performansını izlemek için, banka borçlu ilişkileri ve yapılan tahsilatlara dair ölçütler (ör. yapılan görüşme sayısı, tahsilata dönüşüm oranı) tanımladı mı?","Bu bent, sorunlu alacaklar için borçlularla kurulan temasların ve bunların tahsilata etkisinin ölçülmesini içerir. Borçlu ilişkilerine dair göstergeler (ör. borçluya ulaşma ve ödeme almadaki başarı oranları), tahsilat süreçlerinin etkinliğini değerlendirmeyi sağlar. Böylelikle borçlu iletişim stratejileri ve tahsilat yöntemlerinin başarısı sayısal olarak takip edilir.","Çözümleme birimlerinin performans raporları incelenerek, borçlularla iletişim sıklığı ve sonuçları ile ilgili göstergelerin (ör. borçluya yapılan arama/ziyaret sayısı, bunların sonucunda yapılan tahsilat tutarı veya yeniden yapılandırma sayısı) tanımlandığı ve izlendiği doğrulanır.",Tahsilat/çağrı merkezi raporları; sorunlu alacak tahsilat performans raporu; yeniden yapılandırma ve tahsilat faaliyetlerine ilişkin yönetim raporları.
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 66 (c),Kredilerin Sınıflandırılması Yönetmeliği (Yeniden yapılandırılan krediler); TFRS 9 (Tahmin edilen nakit akışları); EBA/GL/2018/06,"Yeniden yapılandırma faaliyetlerinin başarısını izlemek üzere banka, yeniden yapılandırılan kredilere ilişkin performans göstergelerini tanımlamış ve takip ediyor mu?","Bu hüküm, bankanın yeniden yapılandırılan sorunlu kredilerde elde edilen sonuçları ölçmesini öngörür. Örneğin, yeniden yapılandırılan kredilerin belirli bir süre sonra yeniden temerrüde düşme oranı, borçlunun ödeme performansındaki iyileşme gibi ölçütler takip edilmelidir. Bu sayede yeniden yapılandırma stratejilerinin etkinliği değerlendirilebilir ve gerekli durumlarda strateji revize edilir.","Yeniden yapılandırılan kredilerle ilgili raporlamalar incelenerek, bu kredilerin performansını gösteren metriklerin (ör. yeniden temerrüt oranı, yapılan yeniden yapılandırma sayısı ve tutarı, iyileşen nakit akış oranları) tanımlandığı ve üst yönetime raporlandığı tespit edilir.","Yeniden yapılandırılmış krediler raporu; performans göstergeleri tablosu (yeniden yapılandırma sonrası tahsilat trendleri, re-default oranları); risk komitesi sunumları (yeniden yapılandırma sonuçları değerlendirmesi)."
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 66 (ç),Bankaların Kredi İşlemleri Yönetmeliği (Tasfiye ve alacak tahsil süreçleri); EBA/GL/2018/06,"Banka, sorunlu alacakların tasfiye edilmesine yönelik faaliyetlere ilişkin performans ölçütlerini (ör. varlık satışları, yasal takiplerden tahsilat süre ve oranları) belirlemiş ve izliyor mu?","Bu bent, yeniden yapılandırma dışında kalan tüm tasfiye yollarının başarımının ölçülmesine odaklanır. Banka, alacakların varlık satışına konu edilmesi, yasal yollardan tahsil edilmesi gibi süreçlerde ne kadar sürede ve hangi oranda tahsilat sağlandığını takip etmelidir. Bu göstergeler, tasfiye stratejilerinin etkinliğini ve kredi riskini azaltmadaki başarısını ortaya koyar.","Varlık satışları ve yasal takip işlemlerine dair veriler incelenerek, bankanın bu alanlarda tanımladığı KPI’ların (ör. varlık satış geliri/net defter değeri oranı, yasal takip ortalama tahsil süresi, yasal takip tahsilat oranı) bulunup bulunmadığı kontrol edilir. Ayrıca bu göstergelerin raporlama paketlerinde düzenli olarak yer alıp almadığı değerlendirilir.",Donuk alacak tasfiye raporları; varlık yönetim şirketine satış/devir listeleri ve sonuç raporları; hukuk birimi tahsilat performans raporu; üst yönetim risk raporları (tasfiye faaliyetleri göstergeleri).
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 66 (d),Bankacılık Kanunu md. 57 (Alacak karşılığı edinilen varlıklar); EBA/GL/2018/06,"Sorunlu alacak yönetimine ilişkin diğer unsurlar (ör. NPL’lerin gelir-gider etkileri, alacaktan dolayı edinilen varlıkların seyri, outsource edilen hizmetlerin performansı) için banka asgari izleme kriterleri belirlemiş midir?","Bu alt bent, sorunlu alacaklardan kaynaklanan dolaylı unsurların da izlenmesini kapsar. Banka, donuk alacakların faiz tahakkuku ile gerçekleşen tahsilat farklarını, alacaklar karşılığında edinilen gayrimenkul gibi varlıkların tutar ve maliyetlerini veya dış hizmet sağlayıcıların (varlık yönetim şirketi vb.) performansını takip etmelidir. Böylece sorunlu alacakların banka kârlılığına ve operasyonlarına etkisi bütüncül şekilde izlenir.","Finansal raporlar ve yönetim raporları incelenerek sorunlu alacak kaynaklı gelir/gider kalemlerinin (tahsil edilmeyen faiz, ayrılan/iptal edilen karşılıklar vb.) düzenli raporlanıp raporlanmadığı kontrol edilir. Ayrıca, banka tarafından edinilen teminat kaynaklı varlıklar listelerinin izlendiği ve gerekiyorsa ilgili destek hizmeti/varlık yönetim şirketi performans raporlarının sunulduğu tespit edilir.",NPL kaynaklı finansal etki raporu (faiz geliri ve karşılık değişimleri); alacaktan edinilen varlıklar envanteri ve raporu; varlık yönetim şirketi/hukuk şirketi hizmet sözleşmeleri ve performans raporları; ilgili yönetim kurulu veya komite sunumları.
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 67,Kredilerin Sınıflandırılması Yönetmeliği md. 5 (Donuk alacak tanımı); EBA/GL/2018/06,"Banka, tüm donuk alacaklarını, alacaktan dolayı edinilmiş varlıklarını ve 90 güne kadar gecikmiş (yakın izlemedeki) alacaklarını ayrı ayrı izleyip yakından takip ediyor mu?","Bu madde, bankanın sadece donuk alacakları değil, henüz donuk kapsamına girmemiş ancak 90 gün içinde gecikmiş krediler ile tahsilat amacıyla edinilen varlıkları da yakından izlemesini ister. Bu yaklaşım, sorunlu hale gelme potansiyeli olan kredilerin ve bu kredilerden elde kalan varlıkların da gözetilmesini sağlayarak riskin büyümeden kontrol altına alınmasını hedefler.","Kredi izleme raporlarının kapsamı kontrol edilir; raporların 90+ gün gecikmiş kredileri, donuk alacak stokunu ve banka mülkiyetine geçmiş teminat kaynaklı varlıkları içerip içermediği incelenir. Bankanın bu kalemler için ayrı takip hesapları veya listeleri tutup tutmadığı ve periyodik olarak üst yönetime raporlama yapıp yapmadığı doğrulanır.",Kredi portföy izleme raporları; donuk alacak raporu; yakın izleme (90 gün altı gecikmeler) listeleri; banka portföyüne intikal eden varlıklar envanteri; üst yönetim risk raporları.
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 68,Kredilerin Sınıflandırılması Yönetmeliği (Risk grubu ve sektör takibi); EBA/GL/2018/06,"Sorunlu alacakların izlenmesi kapsamında banka, borçlu, portföy ve alt portföy seviyelerinde, sektör, coğrafi bölge, kredi türü, teminat durumu ve borç-servisi kabiliyeti gibi kırılımları analiz ediyor mu?","Madde 68, bankanın sorunlu alacaklarını tek tek müşteri bazında olduğu kadar, ortak özelliklerine göre gruplandırılmış portföy düzeyinde de takip etmesini öngörür. Sektör veya bölge bazlı yoğunlaşmalar ya da belirli teminat türlerinde yaşanan sorunlar bu şekilde tespit edilebilir. Böylelikle kredi riskinin belirli alanlarda yığılma riski izlenir ve gerektiğinde müdahale edilir.","Sorunlu alacak izleme sisteminden alınan raporlar incelenerek verilerin hem müşteri bazında hem de segmentasyon (örn. sektör, bölge, ürün tipi, teminat türü) bazında üretilebildiği ve analiz edildiği doğrulanır. Özellikle yüksek riskli sektör veya bölgeler için ayrı izleme yapılıp yapılmadığı kontrol edilir.","Segmentasyon bazlı NPL raporları (sektörel dağılım, bölgesel dağılım, teminat bazında NPL listeleri); kredi portföy kalite raporları (alt portföy kırılımlarıyla)."
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 69,TFRS 9 (Değer düşüklüğü muhasebesi); Kredilerin Sınıflandırılması Yönetmeliği md. 7 (Karşılık ayırma oranları); EBA/GL/2018/06,"Üst yönetime kapsamlı bilgi sağlamak amacıyla banka, sorunlu alacakların değer düşüklüğü (ayrılan karşılıklar) seviyesini portföy ve toplam bazında izliyor ve önemli değişimleri üst yönetime raporluyor mu?","Bu madde, NPL portföyüne ilişkin ayrılan karşılık tutarlarının (kredi değer düşüş karşılıklarının) düzenli olarak takip edilmesini ve analiz edilmesini şart koşar. Amaç, sorunlu kredilerde beklenen kayıpların düzeyini izleyerek karşılık oranlarındaki dalgalanmaların yönetimce görülmesini sağlamaktır. Böylece yetersiz karşılık ayrılması gibi durumlar zamanında fark edilip müdahale edilebilir.","Finansal raporlama biriminden ve risk yönetiminden alınan verilerle, donuk alacak portföyü için ayrılan toplam karşılıkların tutar ve oran olarak izlendiği teyit edilir. Farklı dönemler için karşılık ayırma oranlarındaki değişimler incelenir; bu değişimlerin üst yönetime raporlanıp raporlanmadığı (ör. risk komitesi raporlarında) kontrol edilir.",Kredi risk raporları (donuk alacak karşılık seviyesi ve oranları içeren); finansal raporlama tabloları (Karşılık/Brüt NPL oranı gibi göstergeler); üst yönetim sunumları (karşılık seyrine ilişkin notlar).
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 70,Kredilerin Sınıflandırılması Yönetmeliği (Sektör kıyaslamaları); EBA/GL/2018/06,"Banka, kendi takibe dönüşüm oranını (NPL oluşum oranını) ve karşılık ayırma göstergelerini, sektör geneli ve emsal kurumların göstergeleri ile karşılaştırarak kıyaslama yapıyor mu?","Madde 70, bankanın kendi sorunlu kredi gerçekleşmelerini sektör ve benzer ölçekli bankalar ile mukayese etmesini önerir. Bu sayede bankanın NPL oluşum oranı veya karşılık politikalarının sektörden ne derece farklılaştığı görülebilir. Örneğin, bankanın takibe dönüşüm oranı sektör ortalamasından çok yüksekse, altta yatan nedenlerin incelenmesi gerekir.","Risk yönetimi raporları incelenerek, bankanın NPL oranı ve karşılık kapsama oranı gibi göstergeleri için sektör ortalamaları veya benzer banka gruplarıyla karşılaştırmaların yapıldığı kontrol edilir. Eğer varsa BDDK veya TBB istatistikleri kullanılarak bu karşılaştırmaların periyodik raporlara dahil edilip edilmediği tespit edilir.",Sektör kıyaslama raporları; TBB/BDDK sektör verileri kullanılarak hazırlanmış iç raporlar; yönetim kurulu risk raporlarında bankanın oranları ile sektör ortalamalarının yan yana sunulduğu tablolar.
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 71,Kredilerin Sınıflandırılması Yönetmeliği md. 6 (Giriş/Çıkış raporlaması); EBA/GL/2018/06,Donuk alacaklara ilişkin akışlar (90 gün altı gecikmede olanlardan donuk statüsüne girenler ve donuk statüsünden çıkan krediler gibi) üst yönetime düzenli raporlanıyor mu?,"Madde 71, sorunlu alacak portföyündeki değişimlerin (yeni NPL girişleri ve mevcut NPL’lerden tekrar canlı hale gelen çıkışlar) üst yönetime periyodik olarak sunulmasını gerektirir. Bu, NPL portföyündeki net artış veya azalışların şeffaf biçimde izlenmesini sağlar. Yönetim, bu akış bilgilerine bakarak sorunlu alacak stratejisinin başarısını ve portföy dinamiklerini değerlendirebilir.",Üst yönetime sunulan aylık veya üç aylık kredi risk raporları incelenir; bu raporlarda döneme ait yeni donuk alacak tutarları ile donuk statüsünden çıkarılan kredi tutarlarının raporlandığı doğrulanır. Ayrıca raporda bu akışların toplam NPL stoku üzerindeki net etkisinin ve önemli nedenlerinin açıklanıp açıklanmadığı kontrol edilir.,NPL giriş-çıkış raporu; üst yönetim risk raporları (ilgili dönemdeki donuk alacak artış/azalış tabloları); kredi portföy kalite sunumları.
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 72,Kredilerin Sınıflandırılması Yönetmeliği md. 7 (Yeniden yapılandırma sonrası izleme); EBA/GL/2018/06,"Banka, donuk alacak olarak sınıflandırılan krediler ile donuk alacak kapsamından çıkarılan kredilerin hareketlerini izlemek üzere geçiş matrisleri gibi analiz araçları kullanıyor mu?","Bu madde, bankanın kredilerin statü değişimlerini (takibe düşme veya takipten çıkma) sistematik olarak analiz etmesini önerir. Geçiş matrisleri kullanılarak belirli bir dönemde canlı kredilerden donuğa dönüşüm veya donuk kredilerden canlıya dönüşüm olasılıkları hesaplanabilir. Bu yöntem, portföy kalitesindeki değişimleri öngörmeye ve modellemeye yardımcı olarak erken uyarı sağlar.","Risk yönetimi biriminden geçiş analizi yapılıp yapılmadığı sorulur ve varsa son döneme ait geçiş matrisi çalışmaları incelenir. Örneğin, bir yıllık periyotta Grup 1’den Grup 3’e (canlıdan donuğa) geçiş yüzdelerini gösteren bir matris hazırlanmış mı, bu matriste öngörülen geçiş oranları izlenen gerçekleşmelerle kıyaslanmış mı kontrol edilir.",Kredi portföy geçiş matrisi analiz raporları; risk yönetimi modelleme dokümanları (NPL geçiş tahminleri); İçsel derecelendirme sistemi çıktıları (geçiş olasılıkları).
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 73,Kredilerin Sınıflandırılması Yönetmeliği md. 6 (Erken uyarı süreci); EBA/GL/2018/06,"Kredi portföy kalitesindeki bozulmayı önlemek için banka, alacak grupları arasındaki geçiş oranlarını aylık bazda tahmin etmekte ve bu tahminlere göre proaktif önlemler almakta mıdır?","Madde 73, bankanın NPL oluşumuna dair erken uyarı mekanizmaları geliştirmesini teşvik eder. Aylık bazda yapılan geçiş oranı tahminleri (ör. sağlıklı kredilerden sorunluya geçiş yüzdesi) portföy kalitesinin bozulabileceği alanları önceden işaret eder. Banka bu tahminleri kullanarak sorunlu alacak oluşumunu minimize edecek aksiyonları (ör. riskli portföylerde limit azaltımı, yakın takip) vakit kaybetmeden almalıdır.","Bankanın risk yönetimi raporları ve erken uyarı sistemleri incelenerek, canlı kredilerden donuk hale geçiş oranlarına dair düzenli tahminler yapılıp yapılmadığı tespit edilir. Eğer yapılıyorsa, bu tahmin sonuçlarına istinaden yönetimce alınan önlemler (ör. kredi politikası değişiklikleri, sorunlu kredilere yönelik özel takip) olup olmadığına dair kayıtlar incelenir.",Erken uyarı sistemi çıktıları; geçiş oranı tahmin raporları; yönetim kurulu veya kredi komitesi kararları (riskli segmentlere yönelik önlem kararları); aylık risk bültenleri.
